timestamp,forecast_timestamp,temperature,wind_direction,wind_speed,wind_gust,cloud_ceiling,visibility,cloud,lightning_prob,precip
2020-11-01 00:30:00,2020-11-01 23:00:00,50,30,12,19,8.0,7,SC,N,False
2020-11-01 00:30:00,2020-11-02 01:00:00,48,32,16,23,8.0,7,CL,N,False
2020-11-01 00:30:00,2020-11-02 00:00:00,48,31,15,22,8.0,7,FW,N,False
2020-11-01 00:30:00,2020-11-01 22:00:00,53,29,12,19,8.0,7,SC,N,False
2020-11-01 00:30:00,2020-11-01 21:00:00,57,27,10,17,8.0,7,BK,N,False
2020-11-01 00:30:00,2020-11-01 20:00:00,58,25,9,16,8.0,7,BK,N,False
2020-11-01 00:30:00,2020-11-01 19:00:00,58,24,9,16,6.0,7,BK,N,False
2020-11-01 00:30:00,2020-11-01 18:00:00,58,23,9,0,5.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 17:00:00,57,23,8,0,4.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 15:00:00,55,22,4,0,3.0,6,OV,N,False
2020-11-01 00:30:00,2020-11-01 14:00:00,54,22,3,0,3.0,5,OV,N,False
2020-11-01 00:30:00,2020-11-01 13:00:00,52,32,2,0,3.0,5,OV,N,False
2020-11-01 00:30:00,2020-11-01 12:00:00,53,1,3,0,3.0,5,OV,N,False
2020-11-01 00:30:00,2020-11-01 16:00:00,56,23,6,0,3.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 10:00:00,52,1,2,0,4.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 09:00:00,52,2,2,0,4.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 08:00:00,52,2,3,0,4.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 07:00:00,52,2,4,0,5.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 06:00:00,52,4,5,0,6.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 05:00:00,52,4,5,0,6.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 04:00:00,52,7,6,0,6.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 03:00:00,53,10,7,0,6.0,7,OV,N,False
2020-11-01 00:30:00,2020-11-01 02:00:00,54,11,7,0,6.0,7,OV,N,False
